winery,wine,year,columna,metodo,fuentes_referenciales
Marques de Riscal,Rioja Gran Reserva,2015,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Teso La Monja,Victorino,2017,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Imperial,Rioja Gran Reserva,2015,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Carmelo Rodero,Reserva,2016,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Ramos-Paul,Tinto,2006,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Artadi,Pagos Viejos,2006,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Anima Negra,An,2018,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Matarromera,Ribera del Duero Prestigio,2014,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Bodega Numanthia,Numanthia,2004,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Bodega de Bardos,Suprema 30 Meses,2016,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Bodega Contador (Benjamin Romeo),La Cueva del Contador Rioja,2015,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Ausas,Interpretacion,2018,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Morca,Garnacha,2016,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Carmelo Rodero,Ribera del Duero TSM,2015,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Pago de Carraovejas,Tinto,2012,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Emilio Moro,Malleolus,2016,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Muga,Seleccion Especial (Reserva),2014,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Matarromera,Ribera del Duero Reserva,2014,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Matarromera,Ribera del Duero Reserva,2015,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Muga,Prado Enea Gran Reserva,2006,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Bodegas Mauro,Red,2017,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Arzuaga,Ribera del Duero Crianza,2018,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Hacienda Monasterio,Cosecha,2014,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Emilio Moro,Malleolus,2017,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Muga,Prado Enea Gran Reserva,2009,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Familia Torres,Mas La Plana Cabernet Sauvignon,2013,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Aalto,Tinto,2012,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Hacienda Monasterio,Cosecha,2015,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Pago de Los Capellanes,Crianza Tinto,2018,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Pintia,Toro,2007,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Bodega Numanthia,Numanthia,2012,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
R. Lopez de Heredia,Vina Tondonia Reserva,2009,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Benjamin de Rothschild - Vega Sicilia,Macan Clasico,2014,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Pago de Los Capellanes,Reserva Tinto,2015,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Bodega Numanthia,Numanthia,2014,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Benjamin de Rothschild - Vega Sicilia,Macan Clasico,2015,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Pintia,Toro,2009,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Matsu,El Viejo,2016,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Pago de Los Capellanes,Reserva Tinto,2014,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Bodega Contador (Benjamin Romeo),La Cueva del Contador Rioja,2010,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Pradorey,Elite,2017,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Terras Gauda,La Mar,2018,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Abadia Retuerta,Pago Garduna,2015,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Bodegas Faustino,I Gran Reserva,1982,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Teso La Monja,Victorino,2018,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Ramon Bilbao,Mirto,2015,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Marques de Riscal,Rioja Reserva,1994,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Antidoto,La Hormiga de Antidoto,2018,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Alvaro Palacios,Finca Dofi,2018,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Jaro,Chafandin,2015,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Pago de Los Capellanes,Reserva Tinto,2018,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Bodega Tesalia,Arcos de la Frontera,2017,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Pazo de Rubianes,Albarino,2020,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Allende,Calvario Rioja,2006,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Mas d'en Gil,Clos Fonta Priorat,2014,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Bodega Contador (Benjamin Romeo),La Cueva del Contador Rioja,2014,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Contino,Vina del Olivo,2007,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Dominio del Bendito,Las Sabias,2017,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Clos Galena,Galena,2016,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Alvaro Palacios,Finca Dofi,2010,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Bosque de Matasnos,Bosque de Matasnos Etiqueta Blanca,2019,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Vinyes Domenech,Teixar,2012,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Fernandez de Pierola,Vitium Reserva,2010,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
De Muller,Lo Cabalo Reserva,2015,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Vina Pedrosa,Perez Pascuas Gran Reserva Seleccion,2014,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Monteabellon,Finca Matambres,2016,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Oxer Wines,Suzzane Rioja,2016,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Pepe Mendoza Casa Agricola,Giro de Abargues,2019,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
De Moya,Sofia,2016,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Neo,Punta Esencia,2011,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Cruz de Alba,Finca Los Hoyales Ribera del Duero,2013,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Castano,Casa Cisca Monastrell,2010,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Vina Pedrosa,Gran Reserva,2009,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Terra d'Uro,Uro,2015,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Zarate,Tras da Vina Albarino,2018,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Agusti Torello Mata,Cava Kripta Gran Reserva Brut Nature,2006,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
La Rioja Alta,Rioja Gran Reserva 904,1989,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Vizcarra,Ribera del Duero Torralvo,2016,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Mas d'en Gil,Clos Fonta Priorat,2007,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Vinyes Domenech,Teixar,2014,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Allende,Calvario Rioja,2004,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Recaredo,Serral del Vell Brut Nature,2013,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Noelia Bebelia,Albarino,2019,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Marti Fabra,Masia Carreras Negre,2018,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Fos,Fos Baranda,2017,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Hacienda Grimon,Finca la Oracion,2017,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Pedralonga,Albarino Pedralonga,2019,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Capafons-Osso,Mas de Masos,2006,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Clos Mogador,Com Tu,2018,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Conreria d'Scala Dei,Iugiter,2015,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Mas Doix,Doix,2016,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Raul Perez,Ultreia Valtuille Mencia,2019,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Jose Pariente,Sauvignon Blanc,2021,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Dominio del Aguila,Reserva,2010,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Terra Remota,Clos Adrien,2013,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
De Moya,Sofia,2017,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Llopart,Cava Original Brut (Espumos),2008,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Ostatu,Laderas Rioja,2014,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Tinto Pesquera,Reserva,1995,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Bodegas Mas Alta,La Basseta,2014,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Aalto,Blanco de Parcela,2019,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Dominio de la Vega,Finca la Beata Bobal,2014,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Resalte,Resalte Expresion,2015,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Juve & Camps,Cava Brut Milesime,2017,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Bosque de Matasnos,Syrah de Matasnos,2019,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Sierra Cantabria,Amancio,2016,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
La Vicalanda,Reserva,2015,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Enrique Mendoza,Santa Rosa,2017,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Clos Pons,Roc Nu,2011,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Sierra Cantabria,Coleccion Privada,2012,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Imperial,Rioja Reserva,2004,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Losada,Altos de Losada,2018,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Mar de Frades,Rias Baixas Albarino Finca Valinas,2015,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
La Rioja Alta,Vina Alberdi Crianza,2018,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Bodegas La Horra,Corimbo I,2015,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Vina Pedrosa,Gran Reserva,2011,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Campillo,Gran Reserva Rioja,2012,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Lustau,Candela Cream Dulce Sweet,N.V.,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Portal del Priorat,Clos del Portal Somni,2014,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Ramon Bilbao,Mirto,2011,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Matsu,El Viejo,2019,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Artadi,Valdegines,2016,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Contino,Rioja Graciano,2011,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Contino,Reserva,2016,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Conreria d'Scala Dei,Les Brugueres,2018,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Mustiguillo,Finca Terrerazo,2017,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Matarromera,Gran Reserva,2011,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Sei Solo,Preludio,2016,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Vinedos de Paganos,El Puntido,2005,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
Remirez de Ganuza,Rioja Blanco,2017,acidez / cuerpo,"Inferencia por tipo, estilo y prácticas enológicas","Vivino, Wine-Searcher, fichas técnicas de bodegas"
